"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"3","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","121","Avoid unused private methods such as 'mailPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"4","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","126","Avoid unused private methods such as 'jsonPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"5","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","131","Avoid unused private methods such as 'dataPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"6","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","158","Avoid unused private methods such as 'transactionPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"7","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","163","Avoid unused private methods such as 'dataMigrationPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"8","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","169","Avoid unused private methods such as 'integrationPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"9","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","182","Avoid unused private methods such as 'webPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"10","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","196","Avoid unused private methods such as 'templatePrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"11","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","204","Avoid unused private methods such as 'serverPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"12","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","208","Avoid unused private methods such as 'securityPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
"13","org.springframework.boot.build.context.properties","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\context\properties\DocumentConfigurationProperties.java","3","212","Avoid unused private methods such as 'rsocketPrefixes(Config)'.","Best Practices","UnusedPrivateMethod"
